Manga Title,Tag Name
Smoking Behind the Supermarket with You,"Award Winning, Romance, Comedy, Office Workers, Web Comic, Slice of Life"
Mayu's Song,"Psychological, Girls' Love, Gore, Drama, Horror, Supernatural"
Nina,"Monsters, Comedy, Gore, Drama, Fantasy, Monster Girls, Web Comic, Supernatural, Tragedy"
I love you and your hidden side,"Romance, Comedy, Anthology, School Life, Delinquents, Slice of Life"
The Strongest Harem of Nobles,"Magic, Harem, Isekai, Fantasy, Adaptation"
Learning Love,"Romance, Girls' Love, School Life, Web Comic, Slice of Life"
Beloved Us,"Romance, Comedy, Boys' Love, Drama, School Life, Slice of Life"
Confessions for a Moron,"Romance, Comedy, Girls' Love, School Life"
"The Dawn Witch Lacey Wants to Live Freely: After Defeating the Demon King, I'll Open a Cozy Shop","Romance, Comedy, Adventure, Magic, Drama, Fantasy, Slice of Life, Adaptation"
March Comes in Like a Lion,"Award Winning, Traditional Games, Philosophical, Drama, Slice of Life"
Whimsy Whimsy Witch,"Romance, Comedy, Self-Published, Magic, Fantasy, Web Comic"
The Fable: The third secret,"Thriller, Action, Comedy, Crime, Mafia, Drama"
The Useless Supreme Overlord and her Middle-Aged Minion,"Demons, Comedy, Fantasy, Monster Girls, Slice of Life"
"It's True, I Did Say I Wanted a Bride. But I Draw the Line at a Crossdressing Prince!","Romance, Comedy, Crossdressing, Isekai, Fantasy, Slice of Life, Adaptation"
W x Y,"Romance, Comedy, Drama, Slice of Life"
Billy Bat,"Thriller, Award Winning, Sci-Fi, Historical, Psychological, Philosophical, Gore, Drama, Supernatural, Mystery"
Only Yesterday,"School Life, Slice of Life"
Kimisae Inakereba,"Romance, Boys' Love, Drama, School Life"
A Fruitless Harvest,"Long Strip, Boys' Love, Drama, Fantasy, Full Color"
Consuming Love,"Official Colored, Historical, Action, Demons, Psychological, Ghosts, Long Strip, Romance, Boys' Love, Crime, Magic, Gore, Fantasy"
A Guilty Victim-Player's Hustle Play,"Romance, Boys' Love, Sports, Office Workers, Web Comic"
Tale of Felluah,"Romance, Drama, Fantasy"
The Monster of the Northernmost Territory: Wealth and Military Strength of A Country that Begins in Debt Trap THE COMIC,"Adventure, Drama, Fantasy, Adaptation"
"Kon'ya, Isshoumono ni Shiro","Boys' Love, Office Workers"
Koisuru Psycho no Shirayuki-kun,"Thriller, Psychological, Boys' Love, Sexual Violence, Gore, Drama, School Life, Horror, Delinquents, Adaptation"
Massacre Happy End ~The Blue Chapter~,"Thriller, Action, Psychological, Crime, Adventure, Sexual Violence, Gore, School Life, Horror, Supernatural, Tragedy"
Street Fighter ZERO,"Thriller, Monsters, Action, Demons, Psychological, Comedy, Survival, Sports, Martial Arts, Adventure, Video Games, Drama, Supernatural, Adaptation"
Release That Witch,"Action, Demons, Long Strip, Romance, Adventure, Magic, Harem, Military, Isekai, Drama, Fantasy, Web Comic, Supernatural, Adaptation, Full Color"
Unstoppable Young Lady,"Long Strip, Romance, Comedy, Drama, School Life, Slice of Life, Cooking, Full Color"
Skip Beat,"Romance, Comedy, Drama, Slice of Life"
No Longer Allowed In Another World,"Reincarnation, Monsters, Action, Romance, Comedy, Adventure, Magic, Harem, Isekai, Drama, Fantasy, Monster Girls, Slice of Life, Supernatural, Mystery"
Laid-Back Camp,"Comedy, Adventure, School Life, Slice of Life, Cooking"
Hooky,"Long Strip, Comedy, Adventure, Fantasy, Mystery, Full Color"
Trigun Maximum,"Award Winning, Sci-Fi, Action, Comedy, Adventure, Drama, Supernatural"
Clueless Childhood Friend Mechanic-chan,"Romance, Web Comic"
Mane Mane Nichi Nichi,"Comedy, Sports, School Life, Slice of Life"
I'm the Personal Doctor of the Terminally-Ill Emperor,"Long Strip, Romance, Fantasy, Adaptation, Full Color"
The Two Within the Garden of Vigils,"Oneshot, Historical, Psychological, Romance, Drama, Medical, Tragedy"
Tabi and Fellow Travellers,"Supernatural, Mystery"
Goblin Bride,"Historical, Romance, Boys' Love, Magic, Drama, Fantasy, Adaptation, Full Color"
Simulacra of the Crazy Idea,"Action, Psychological, Drama, Horror, Supernatural, Mystery, Tragedy"
Simulacra,"Action, Demons, Psychological, Adventure, Horror, Fantasy, Supernatural, Mystery"
Minami the Super Evolution,"School Life, Slice of Life, Supernatural"
Living in One Frame,"Oneshot, Action, Sports, Video Games"
Devouring Princess,"Action, Horror, Supernatural, Mystery, Tragedy"
The Gorilla Man,"Award Winning, Action, Comedy, School Life, Delinquents"
Puberty Bitter Change,"Genderswap, Psychological, Romance, Drama, School Life, Slice of Life, Supernatural"
"The Koi of Sacrifice, Death, and Taboo","Animals, Survival, Gore, Drama, Horror, Mystery"
Bukuro Kicks,"Sports, Drama, Slice of Life"
Sheepy: The Prologue,"Horror, Fantasy"
Tougen Anki: Legend of the Cursed Blood,"Action, Demons, Gore, Drama, Fantasy, Delinquents, Monster Girls, Supernatural"
Vesta's Kitchen: My Forgotten World Gourmet,"Romance, Comedy, Drama, Fantasy, Slice of Life, Cooking, Supernatural"
Sayonara Flower Petal,"Drama, Mystery"
AKB49: The Rules Against Love,"Romance, Comedy, Adventure, Crossdressing, Drama, School Life, Music"
Lozan,"Action, Romance, Comedy, Martial Arts, Adventure, Self-Published, Military, Drama, Fantasy"
The Dangers in My Heart,"Award Winning, Romance, Comedy, School Life, Slice of Life"
Gunze Arabaki's Magnificently Maniacal Menagerie!,"Monsters, Animals, Comedy"
Cat’s Paws,"Animals, Magic, Fantasy, Slice of Life, Full Color"
Level 999 Goblin,"Action, Long Strip, Adventure, Fantasy, Full Color"
Maria Jyu,"Action, Demons, Romance, Fantasy, Supernatural"
The Big Bees,"Comedy, Web Comic, Slice of Life"
Kowloon Generic Romance,"Sci-Fi, Psychological, Romance, Office Workers, Drama, Slice of Life, Mystery"
Polar Bear Mama Witch Shiroku☆Magika,"Oneshot, Action, Animals, Magic, Doujinshi, Fantasy"
"When I Confessed to the Girl I Liked, Her Twin Sister Came Along as a Bonus","Romance, Harem, School Life, Adaptation"
"Sorry, I like you","Psychological, Romance, Comedy, Self-Published, Drama, School Life, Web Comic, Slice of Life, Tragedy"
"The Cursed Sword Master's Harem Life: By the Sword, For the Sword, Cursed Sword Master","Reincarnation, Action, Adventure, Sexual Violence, Harem, Isekai, Gore, Fantasy, Adaptation"
"Ninja Slayer: Kyoto, Hell on Earth","Thriller, Sci-Fi, Action, Ninja, Comedy, Zombies, Superhero, Martial Arts, Samurai, Mafia, Adventure, Sexual Violence, Magic, Military, Wuxia, Isekai, Gore, Adaptation"
"Shut Up, Takamori-kun!!","Romance, Comedy, School Life, Slice of Life"
Troubling Benten Dormitory,"Romance, Comedy, Drama, School Life, Slice of Life"
Angel and Demon,"Romance, Comedy, School Life, Slice of Life"
Gazing at the Star Next Door,"Romance, Comedy"
Yu☆Gi☆Oh! OCG STORIES,"Action, Fantasy, Adaptation"
Tomorrow's Tomorrow,"Comedy, Girls' Love, School Life, Slice of Life"
"Please Put Them On, Takamine-san","Time Travel, Romance, Comedy, Drama, School Life, Slice of Life, Supernatural"
Until You Shine Lke the Brightest Star,"Girls' Love, Drama, School Life, Slice of Life, Music"
The Two Sides of a Sweet Girlfriend,"Romance, School Life, Slice of Life, Adaptation"
The Villainesses Are Unwavering,"Romance, Magic, Drama, School Life, Fantasy, Villainess, Adaptation"
The Sorcerer Manual,"Action, Romance, Comedy, Adventure, Magic, Isekai, Drama, Fantasy, Web Comic, Supernatural, Mystery, Full Color"
One Piece Episode Ace,"Action, Comedy, Adventure, Drama, Fantasy, Adaptation"
Ms. Koizumi loves Ramen Noodles!,"Comedy, School Life, Slice of Life, Cooking"
Our Field of Dreams,"Sports, Drama, School Life, Slice of Life"
Garden in the Closet,"Romance, Boys' Love, Magic, Drama, School Life, Fantasy, Slice of Life"
Are You Falling Hard for the Boyish Girl?,"Anthology, Girls' Love"
A Fine and Bright Day,"Comedy, Office Workers, School Life, Slice of Life"
Sasaki-san is Just a Little Bit Amazing.,"Romance, Comedy, Magic, Slice of Life, Adaptation"
The Ramparts of Ice,"Long Strip, Romance, Comedy, Drama, School Life, Slice of Life, Full Color"
Goth Loli-chan & Troublemaker-kun,"Romance, Comedy, School Life, Slice of Life"
Spring Returns to Aoi's Room,"Oneshot, Reincarnation, Romance, Web Comic, Slice of Life, Tragedy"
Itezuru,"Historical, Drama, Slice of Life"
The King Is in Love,"Reincarnation, Historical, Long Strip, Romance, Boys' Love, Crossdressing, Drama, Web Comic, Full Color"
Kokoro-Sensei's Umamusume Shorts,"Romance, Doujinshi, School Life, Web Comic, Slice of Life"
"The Moon, the Eyes, and the Shrine Maiden of the Lake","Oneshot, Psychological, Drama, Supernatural"
The Former Magical Girl Wants to Know L❤ve.,"Romance, Magical Girls, Sexual Violence, Magic, Harem, Supernatural"
Rohan at the Louvre,"Oneshot, Thriller, Monsters, Action, Demons, Psychological, Ghosts, Romance, Comedy, Survival, Adventure, Philosophical, Gore, Drama, Horror, Fantasy, Slice of Life, Supernatural, Mystery, Full Color, Tragedy"
Magical Girl Dandelion,"Monsters, Action, Comedy, Magical Girls, Drama"
Romance Between Regents,"Reincarnation, Historical, Long Strip, Romance, Boys' Love, Full Color"
Our Son Is Probably Gay,"Romance, School Life, Web Comic, Slice of Life"
Furfantasia 2,"Oneshot, Animals, Doujinshi, Fantasy"
Masked Rider KUUGA,"Thriller, Sci-Fi, Traditional Games, Monsters, Action, Psychological, Romance, Comedy, Crime, Survival, Superhero, Martial Arts, Adventure, Office Workers, Magic, Military, Gore, Drama, Horror, Vampires, Police, Supernatural, Mystery, Adaptation, Tragedy"
My House Is a Magic Power Spot: Just by Living There I Become the Strongest in the World,"Monsters, Action, Romance, Comedy, Survival, Adventure, Magic, Harem, Isekai, Fantasy, Monster Girls, Slice of Life, Adaptation"
Lulu's Hell House,"Ghosts, Horror, Supernatural, Mystery"
Sword of the Demon Hunter: Kijin Gentosho,"Historical, Action, Samurai, Adventure, Fantasy, Adaptation, Tragedy"
Julie and Elena's Forest Consultation Office: Protecting Your Future with the Power of Empowerment!,"Fantasy, Slice of Life, Adaptation"
Jujutsu Kaisen 0,"Monsters, Action, Psychological, Ghosts, Martial Arts, Adventure, Magic, Gore, Drama, School Life, Horror, Delinquents, Supernatural, Mystery, Tragedy"
Naerin,"Long Strip, Romance, Self-Published, Gore, School Life, Horror, Supernatural, Mystery, Full Color"
"Petals Fluttering, Fluttering, Fluttering","Monsters, Adventure, Drama, Fantasy, Slice of Life"
Assassin's Pride,"Action, Romance, Comedy, Magical Girls, Magic, Drama, School Life, Fantasy, Vampires, Supernatural, Mystery, Adaptation"
The Heroines in my Graduation Albums,"Romance, Comedy, Harem"
Bocchi the Rock! - I Spin the Words - With You (Doujinshi),"Oneshot, Girls' Love, Doujinshi, Slice of Life"
Listen to My Voice!!,"Romance, Comedy, Drama, School Life, Slice of Life"
"No Matter How I Look at It, It's You Guys' Fault I'm Not Popular! Anthology","Comedy, Anthology, School Life, Slice of Life"
Dungeon Experience Book,"Monsters, Action, Long Strip, Survival, Adventure, Magic, Drama, Fantasy, Web Comic, Full Color"
Kareshi ga Hoshikatta,"Psychological, Boys' Love, Slice of Life, Supernatural"
Yankee JK Kuzuhana-chan: Another Side of the Heroine,"Romance, Comedy, Harem, School Life, Delinquents, Gyaru"
Kankinjou,"Thriller, Psychological, Sexual Violence, Gore, Drama, School Life"
"Drops of Dreams, the Golden Birdcage","Historical, Romance, Drama"
The Phantom Girl in Games of Death.,"Thriller, Action, Survival, Gore, Drama, Mystery, Adaptation"
Kino's Journey,"Action, Adventure, Drama, Fantasy, Mystery, Adaptation, Tragedy"
Shiori Experience: My Plain Self and an Odd Old Man,"Comedy, Drama, School Life, Supernatural, Music"
"Don't Look at Me, Senpai!","Oneshot, Romance, School Life, Monster Girls, Slice of Life"
Nectar of the Divine Spell,"Monsters, Action, Survival, Adventure, Sexual Violence, Magic, Harem, Military, Isekai, Gore, Drama, Fantasy, Monster Girls, Supernatural"
Marimo Kyoudai no Sahanji,"Comedy, School Life, Slice of Life"
Slippery Okuta-san,"Award Winning, School Life, Monster Girls, Web Comic, Slice of Life"
The World I Depict Is Broken.,"Psychological, Drama"
Her Face at the Witching Hour,"Ghosts, Romance, Comedy, Sexual Violence, Gore, Drama, Horror, Supernatural"
Dark Star Emperor,"Monsters, Action, Long Strip, Harem, Isekai, Fantasy, Web Comic, Supernatural, Full Color"
There is No True Peace in this World -Shin Kamen Rider SHOCKER SIDE-,"Action, Psychological, Mecha, Superhero, Drama"
Visual Breakers,"Romance, Comedy, Slice of Life"
Hidden Reincarnation,"Action, Adventure, Magic, Isekai, Fantasy, Adaptation"
The Complicated Love Life of a Cross-Dressing Boy,"Boys' Love, Crossdressing, School Life, Web Comic"
Astra,"Thriller, Monsters, Action, Psychological, Survival, Samurai, Adventure, Self-Published, Post-Apocalyptic, Drama, Fantasy, Aliens, Mystery, Music"
Friends in the Evening: Best Short Stories,"Anthology, Drama"
The Classroom of a Black Cat and a Witch,"Monsters, Action, Animals, Romance, Comedy, Magic, Drama, School Life, Fantasy"
The Reasons Why Ryuuzaki-san Only Shows Her Sweet Side to Me,"Romance, Comedy, School Life, Fantasy, Monster Girls, Slice of Life, Supernatural"
There’s No Freaking Way I’ll be Your Lover! Unless…,"Romance, Comedy, Sexual Violence, Girls' Love, Harem, School Life, Adaptation"
Ultimate Shut-in,"Monsters, Long Strip, Survival, Drama, Fantasy, Supernatural, Adaptation, Full Color"
Love Supremacy Zone,"Long Strip, Romance, Boys' Love, Drama, School Life, Fantasy, Full Color"
NEW Jungle King Tar-chan,"Monsters, Action, Animals, Comedy, Martial Arts, Drama, Supernatural, Tragedy"
Snow Dome Town,"Romance, Drama, Mystery"
Gamaran: Shura,"Historical, Action, Comedy, Martial Arts, Samurai, Adventure, Gore"
Yuko-Senpai Cannot be Raised.,"Oneshot, Office Workers, Girls' Love"
Nanjou-san Wants to Be Held by Me,"Romance, Comedy, School Life, Gyaru"
TIGER & BUNNY - THE COMIC,"Action, Comedy, Drama"
My Ex-Wife is Young Again and She's in my Class,"Reincarnation, Time Travel, Romance, Comedy, School Life, Slice of Life, Adaptation"
Tenkaichi: The Greatest Warrior Under the Rising Sun,"Historical, Action, Ninja, Martial Arts, Samurai, Gore, Drama"
That's Maid Kanna for You,"Comedy, Slice of Life"
Arata Natsume Getting Married,"Award Winning, Psychological, Romance, Comedy, Crime, Gore, Drama, Mystery"
"Exiled in a Class Trial for ""Poor Dexterity"": Because He Was Dexterous, He Lived on His Own. Because of His Dexterity, He Was Able to Use All the Skills and Magic of the Higher Ranks, Making Him Invincible. I Decided to Live on My Own, but the People Around Me Wouldn't Leave Me Alone","Action, Romance, Comedy, Martial Arts, Adventure, Magic, Harem, Drama, School Life, Fantasy, Supernatural, Adaptation"
Hakumei & Mikochi: Tiny Little Life in the Woods,"Animals, Comedy, Adventure, Magic, Fantasy, Slice of Life, Cooking"
Akebi-chan's Sailor Uniform,"Romance, Girls' Love, School Life, Slice of Life"
"I'm a Curse Crafter, and I Don't Need an S-Rank Party!","Action, Demons, Romance, Comedy, Adventure, Magic, Fantasy, Monster Girls, Adaptation"
The Retired Demon of the Maxed Out Village,"Fantasy, Adaptation"
The Daily Life of Maka,"Monsters, Comedy, Superhero, Self-Published, Fantasy, Monster Girls, Supernatural, Full Color, Tragedy"
A Little Devil Teacher,"Thriller, Psychological, Crime, Survival, Sexual Violence, Gore, Drama, School Life, Horror, Delinquents, Mystery, Adaptation, Tragedy"
Cosmic Heavenly Demon 3077,"Sci-Fi, Action, Demons, Long Strip, Comedy, Martial Arts, Post-Apocalyptic, Magic, Military, Wuxia, Fantasy, Web Comic, Supernatural, Full Color"
Delinquent Girl Detective,"Action, Crime, Survival, Martial Arts, Adventure, Drama, School Life, Delinquents, Police, Mystery, Tragedy"
Crows Gaiden Housenka - the beginning of HOUSEN,"Action, Comedy, School Life, Delinquents"
"A Bottom-Tier Ojousama Dungeon Streamer Beats Up a Nuisance Streamer, Goes Viral, and Becomes a Legend?!","Action, Comedy, Adventure, Fantasy, Adaptation"
Ca Mau Oddities,"Long Strip, Crime, Self-Published, Gore, Delinquents, Full Color"
Fumi-chan's Paradise,"Romance, Comedy, Drama, Slice of Life"
Shout Loud My Heart,"Romance, Boys' Love, Music"
Collector,"Oneshot, Gore, Horror"
Wistoria: Wand and Sword,"Monsters, Action, Demons, Ghosts, Martial Arts, Adventure, Magic, Gore, School Life, Fantasy, Supernatural"
"No Matter How I Look At It, It's You Guys' Fault My Friend Isn't Popular.","Comedy, 4-Koma, Slice of Life"
DUR-AN-KI,"Monsters, Action, Adventure, Magic, Drama, Fantasy, Shota"
Baby Car Campers,"Comedy, Adventure, Slice of Life, Cooking"
"I'm a Personal Magician Who Wants to Live a Slow Life in a Frontier Town, Disconnecting from My Childhood Friend, an Alchemist Who Harasses Me with Power, Complaining That the Material Collection Rate is Low Even Though It's a Material That No One but Me Can Collect.","Monsters, Action, Demons, Romance, Comedy, Adventure, Magic, Military, Drama, Fantasy, Monster Girls, Supernatural, Adaptation"
Neko Neko,"Oneshot, Slice of Life"
Boys on the Run,"Action, Romance, Comedy, Sports, Office Workers, Drama, Slice of Life"
Please Kiss Sweet Me,"Romance, Comedy, School Life, Slice of Life"
AR∀GO,"Action, Romance, Supernatural, Mystery, Tragedy"
Domesticly Produced Girl Clarith,"Sci-Fi, Virtual Reality, Gore, Drama"
Facets,"Action, Adventure, Self-Published, Magic, Drama, Fantasy, Web Comic"
Dragon Ball GT,"Sci-Fi, Action, Comedy, Martial Arts, Adventure, Fantasy, Supernatural"
"The Result of the Villainess Striving to Act Like the Heroine to Avoid Her Destruction: Although She Longs for a Lazy Retirement, She’s Confused by Entering the Second Prince’s Obsessive Love Route","Reincarnation, Romance, Isekai, School Life, Fantasy, Villainess, Slice of Life, Adaptation"
Heroes & Demons & Villains,"Action, Demons, Long Strip, Comedy, Adventure, Magic, Drama, Fantasy, Web Comic, Adaptation, Full Color"
Needy Girl 4-Koma,"Oneshot, Comedy, 4-Koma, Web Comic"
Leave It to a Teacher to Get Back at a Bully,"Thriller, Psychological, Crime, Gore, Drama, School Life, Delinquents, Tragedy"
Maid Shota in Toudou-kun's Family,"Comedy, Boys' Love, Crossdressing, Shota, Slice of Life"
The 666th Grim Reaper,"Oneshot, Action, Ghosts, Comedy, Adventure, Isekai, Fantasy"
Solo Camping for Two,"Romance, Comedy, Slice of Life, Cooking"
Fujii on the Roadside,"Office Workers, Drama, Slice of Life"
"In Another World I'm Called the ""Black Healer""","Action, Demons, Romance, Comedy, Video Games, Magic, Isekai, Drama, Fantasy, Adaptation"
Cats Own the World,"Animals, Long Strip, Comedy, 4-Koma, Full Color"
Punchline Magical girl Sei,"Demons, Romance, Comedy, Magical Girls, Magic, Fantasy"
Taizo Mote King Saga,"Comedy, School Life, Supernatural"
Common Sense in Another World Is Difficult,"Comedy, Magic, Isekai, Drama, Fantasy, Slice of Life, Adaptation"
Yakuza Reincarnation,"Reincarnation, Genderswap, Monsters, Action, Demons, Comedy, Martial Arts, Mafia, Adventure, Magic, Isekai, Gore, Drama, Fantasy, Supernatural"
The Lazy Villainous Noble Married the Villainous Young Lady and Became the Most Fearsome Couple,"Reincarnation, Romance, Magic, Isekai, Drama, Fantasy, Villainess, Adaptation"
Kind Words,"Oneshot, Comedy, 4-Koma, Web Comic"
Boruto: Two Blue Vortex,"Action, Ninja, Martial Arts, Adventure, Drama, Aliens"
Gyaru to Couture: Ariake Momo wa Fuku wo Tsukutte Yuushou suru Koto ni shita,"Drama, School Life, Slice of Life, Gyaru"
What Should I do in a Different World?,"Romance, Adventure, Isekai, Fantasy, Adaptation"
Boundary Labyrinth and the Foreign Magician,"Reincarnation, Action, Demons, Romance, Adventure, Video Games, Harem, Isekai, Fantasy, Monster Girls, Adaptation"
Azure Wants to Turn Me into the Ideal BF,"Romance, Comedy, Sports, Self-Published, Drama, School Life, Web Comic, Slice of Life"
Misaki-kun is Unobtainable,"Romance, Comedy, Boys' Love, Video Games, Crossdressing, School Life"
I Will Fall in Love with Azami Yako (if it kills me),"Romance, Comedy, School Life, Slice of Life"
Kaguhara's Fetish Notebook,"Comedy, Girls' Love, School Life"
Lip tint for love,"Romance, Comedy, Drama, School Life, Slice of Life"
Kamakiri Maid to Chouchou no Goshujin-sama,
"A sickly girl is reincarnated and gains a healthy body (the strongest) ~I left the demon realm because I wanted friends, but it seems my magic is a little strange!?~","Reincarnation, Isekai, Fantasy, Adaptation"
Kotetsu's Great Adventures,"Action, Comedy, Martial Arts, Adventure, Supernatural"
I Became a Yakuza in Another World: My Peaceful Slow Life Will Have to Wait,"Reincarnation, Romance, Comedy, Mafia, Harem, Isekai, Slice of Life"
Crossdressing Has Become a Problem; Emo and Yankee's Unrequited Mutual Feelings,"Romance, Comedy, Boys' Love, Crossdressing, Slice of Life"
The Crushing Weight Of This Universe,"Sci-Fi, Self-Published, Sexual Violence, Magic, Philosophical, Gore, Drama, Fantasy, Supernatural"
Privateer Parfait,"Long Strip, Comedy, Adventure, Drama, Fantasy, Web Comic, Full Color"
"Boy Meets Girl, Again!","Reincarnation, Action, Romance, School Life, Web Comic, Supernatural"
Major – Dramatic Baseball Comic,"Award Winning, Romance, Comedy, Sports, Drama, School Life"
Watashi ni Pool ha Semai Sugita!,"Sports, 4-Koma, School Life"
그 마법사 그 백수,"Long Strip, Romance, Boys' Love, Fantasy, Supernatural"
"Make a Blood Contract with Me, Sumi-senpai","Romance, Boys' Love, Fantasy"
Ave Mujica Manga,"Psychological, Romance, Girls' Love, Doujinshi"
To Become Your Ideal Maid!,"Romance, Comedy, Harem, School Life"
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"Reincarnation, Action, Romance, Adventure, Harem, Isekai, Fantasy, Adaptation"
Home Sweet Home,"Romance, Comedy, School Life, Slice of Life"
"The Unfortunate ""Trapper"" Cast Out of the Hero's Party Will Defy Fate and Become the Strongest with the Unique Skill ""Arrow""","Monsters, Action, Romance, Adventure, Crossdressing, Magic, Harem, Fantasy, Adaptation"
Gap Papa: Daddy At Work And At Home,"Long Strip, Romance, Comedy, Office Workers, Web Comic, Slice of Life, Full Color"
Haimiya-senpai is Scary and Cute,"Romance, School Life, Web Comic, Slice of Life"
The Mercenary Bomber Explodes All Cheaters.,"Action, Comedy, Adventure, Isekai, Fantasy, Adaptation"
Magic Stone Gourmet: Eating Magical Power Made Me the Strongest,"Reincarnation, Monsters, Action, Romance, Adventure, Magic, Harem, Isekai, Fantasy, Monster Girls, Adaptation"
"Even So, I Still Want to be Your Boyfriend Tomorrow","Romance, Drama"
The Story of a Cute Girl in Tights,"Oneshot, Doujinshi, Web Comic"
I Live in Isekai Zero: Will the Reincarnated Save the World?,"Thriller, Reincarnation, Monsters, Action, Psychological, Ghosts, Romance, Boys' Love, Crime, Survival, Reverse Harem, Martial Arts, Magical Girls, Adventure, Self-Published, Sexual Violence, Magic, Harem, Isekai, Gore, Drama, School Life, Horror, Fantasy, Vampires, Delinquents, Monster Girls, Slice of Life, Supernatural, Mystery, Adaptation, Tragedy"
Animan,"Thriller, Action, Psychological, Animals, Sexual Violence, Philosophical, Gore, Horror, Cooking, Mystery"
"I Opened an Orphanage in Another World, but for Some Reason No One Wants to Leave.","Loli, Action, Romance, Comedy, Survival, Adventure, Magic, Harem, Isekai, Fantasy, Monster Girls, Slice of Life, Supernatural, Adaptation"
Chaos Combat,"Action, Martial Arts, Self-Published, Magic, Gore, Fantasy"
"A Pen, Handcuffs, and a Common-Law Marriage","Romance, Comedy, Crime, Gore, Police, Mystery"
Okitsune-sama ni Onegai! ~Haison ni Nokotteta Kami-sama ga Fantasy-ka Shita Gendaishakai ni Hourikomaretara Saikyou Datta~,"Monsters, Animals, Comedy, Fantasy, Monster Girls, Slice of Life, Adaptation"
Twinkling secret told us tonight is the night,"Romance, Boys' Love, Fantasy"
"Nice to Meet You, My Best Friend","Romance, Boys' Love"
Cigarette Anthology,"Action, Romance, Anthology, Girls' Love, Gore, Drama, Slice of Life"
"Nyanta and Pomeko – Even if You Say You Believe Me Now, It’s Too Late.","Romance, Drama, School Life, Adaptation"
Nia Liston: The Merciless Maiden,"Reincarnation, Action, Comedy, Adventure, Fantasy, Adaptation"
Ghost Photo Black Market Manual,"Thriller, Ghosts, Comedy, Adventure, School Life, Horror, Supernatural"
Goodnight Punpun,"Psychological, Sexual Violence, Philosophical, Gore, Drama, Delinquents, Slice of Life, Tragedy"
The Idol and Her Egg Problem,"Romance, Comedy, Self-Published, Drama, School Life, Fantasy, Monster Girls, Web Comic, Slice of Life, Full Color"
Magical Girl 201,"Loli, Comedy, Superhero, Magical Girls, Slice of Life"
The Paladin with Huge Tits Marches Forth,"Comedy, Adventure, Isekai, Fantasy"
No Guns Life,"Thriller, Sci-Fi, Monsters, Action, Comedy, Crime, Survival, Martial Arts, Military, Gore, Drama, Mystery"
Zange Meshi,"Romance, Comedy, Slice of Life, Cooking"
ROAD☆STAR,Comedy
Metaphor: ReFantazio,"Adventure, Fantasy, Adaptation"
My Girlfriend Got Waxed!,"Oneshot, Romance, Web Comic"
All Because of You,"Genderswap, Romance, Comedy, Crossdressing, School Life, Slice of Life"
Patalliro!,"Action, Comedy, Boys' Love, Crime, Adventure, Military, Police, Slice of Life, Supernatural, Mystery"
"Gokudou Reijou, Neko wo Hirou.","Romance, Comedy, Mafia, School Life, Slice of Life"
The Hundred Demon Survey Report - Inquire Here for Paranormal Investigations.,"Ghosts, Horror, Supernatural, Mystery"
"Kimi, Shiorerukoto Nakare",Boys' Love
Satomi Hakkenden Reboot,"Action, Demons, Fantasy"
Tamon-san's Queer Friends,Drama
Twilight of the Idols,"Action, Martial Arts, Self-Published, Philosophical, School Life, Supernatural"
Usapyon,"Comedy, Slice of Life, Supernatural, Mystery"
Uglyhood,"Sci-Fi, Action, Long Strip, Comedy, Magic, Drama, School Life, Aliens, Supernatural, Full Color"
Magical Girl Incident,"Genderswap, Comedy, Magical Girls, Office Workers, Fantasy, Supernatural"
Revolving Battles Of Curse Arts,"Award Winning, Action, Ghosts, Adventure, Gore, School Life, Horror, Supernatural"
The Ruler of the Land,"Action, Romance, Comedy, Martial Arts, Adventure, Wuxia, Drama, Fantasy"
Lonely Squadmate Red-san!,"Oneshot, Award Winning, Action, Comedy, Drama, School Life"
Girls Zombie Party,"Action, Psychological, Survival, Zombies, Sexual Violence, Gore, Horror, Fantasy, Mystery"
Page o Mekuru Sono Mae ni,"Romance, Boys' Love"
Cookie Run Kingdom,"Action, Comedy, Adventure, Magic, Fantasy, Adaptation, Full Color"
Mob Psycho 100 x Mieruko-chan Crossover,"Monsters, Action, Comedy, Self-Published, Doujinshi, Gore, School Life, Horror, Aliens, Supernatural, Mystery"
I'm Mother,"Sci-Fi, Monsters, Action, Long Strip, Survival, Zombies, Adventure, Post-Apocalyptic, Gore, Drama, Horror, Monster Girls, Web Comic, Supernatural, Full Color"
Bastard Swordsman,"Action, Comedy, Adventure, Fantasy, Slice of Life, Adaptation"
Revenge of the Fallen Angel Soprano-chan,"Romance, Girls' Love, Drama, School Life, Slice of Life"
Tamayomi,"Sports, School Life, Slice of Life"
Kaika Apartment,"Historical, Romance, Drama, Supernatural, Mystery"
"If I'm going to die one day, I sell my paintings","Comedy, Drama, Slice of Life"
Tyranno,"Action, Comedy, Mafia, Sexual Violence, Delinquents, Police"
'Ecchi Shitai' to Itte Kure - Seijin (?) Buchou to Junshin (?) OL,"Romance, Office Workers"
Psycho Eyes,"Sci-Fi, Action, Supernatural"
Promise In The Night of Fireworks,"Long Strip, Romance, Girls' Love, Drama, Full Color"
The God Before Me,"Traditional Games, Comedy, Sports, Drama"
Nanao-kun wa Mangaka no Oujisama,"Oneshot, Romance, Comedy, Drama, School Life"
